,Category,Month of Order Date,Current Revenue,Current Profit,Current Quantity,Current Target,Previous Revenue,Previous Profit,Previous Quantity,Previous Target
3,Clothing,2018-04,10743.0,429.0,226.0,12000.0,,,,
4,Clothing,2018-05,6986.0,300.0,177.0,12000.0,10743.0,429.0,226.0,12000.0
5,Clothing,2018-06,7238.0,-1735.0,244.0,12000.0,6986.0,300.0,177.0,12000.0
6,Clothing,2018-07,4020.0,-116.0,142.0,14000.0,7238.0,-1735.0,244.0,12000.0
7,Clothing,2018-08,13270.0,280.0,346.0,14000.0,4020.0,-116.0,142.0,14000.0
8,Clothing,2018-09,8414.0,-1350.0,189.0,14000.0,13270.0,280.0,346.0,14000.0
9,Clothing,2018-10,11761.0,2348.0,258.0,16000.0,8414.0,-1350.0,189.0,14000.0
10,Clothing,2018-11,15862.0,2261.0,314.0,16000.0,11761.0,2348.0,258.0,16000.0
11,Clothing,2018-12,5769.0,685.0,117.0,16000.0,15862.0,2261.0,314.0,16000.0
12,Clothing,2019-01,11867.0,2004.0,390.0,16000.0,5769.0,685.0,117.0,16000.0
13,Clothing,2019-02,4507.0,1130.0,152.0,16000.0,11867.0,2004.0,390.0,16000.0
14,Clothing,2019-03,14411.0,3303.0,324.0,16000.0,4507.0,1130.0,152.0,16000.0
27,Electronics,2018-04,8857.0,-1290.0,61.0,9000.0,14411.0,3303.0,324.0,16000.0
28,Electronics,2018-05,8759.0,-710.0,70.0,9000.0,8857.0,-1290.0,61.0,9000.0
29,Electronics,2018-06,6546.0,-1094.0,64.0,9000.0,8759.0,-710.0,70.0,9000.0
30,Electronics,2018-07,6413.0,-1597.0,46.0,9000.0,6546.0,-1094.0,64.0,9000.0
31,Electronics,2018-08,16740.0,-1178.0,152.0,9000.0,6413.0,-1597.0,46.0,9000.0
32,Electronics,2018-09,5068.0,-815.0,53.0,9000.0,16740.0,-1178.0,152.0,9000.0
33,Electronics,2018-10,15537.0,2741.0,102.0,9000.0,5068.0,-815.0,53.0,9000.0
34,Electronics,2018-11,10531.0,378.0,59.0,9000.0,15537.0,2741.0,102.0,9000.0
35,Electronics,2018-12,11915.0,2063.0,63.0,9000.0,10531.0,378.0,59.0,9000.0
36,Electronics,2019-01,22637.0,4514.0,138.0,16000.0,11915.0,2063.0,63.0,9000.0
37,Electronics,2019-02,6693.0,41.0,43.0,16000.0,22637.0,4514.0,138.0,16000.0
38,Electronics,2019-03,15146.0,2168.0,99.0,16000.0,6693.0,41.0,43.0,16000.0
51,Furniture,2018-04,6570.0,-182.0,50.0,10400.0,15146.0,2168.0,99.0,16000.0
52,Furniture,2018-05,4677.0,-481.0,59.0,10500.0,6570.0,-182.0,50.0,10400.0
53,Furniture,2018-06,3622.0,-930.0,45.0,10600.0,4677.0,-481.0,59.0,10500.0
54,Furniture,2018-07,5249.0,-352.0,51.0,10800.0,3622.0,-930.0,45.0,10600.0
55,Furniture,2018-08,15259.0,-161.0,103.0,10900.0,5249.0,-352.0,51.0,10800.0
56,Furniture,2018-09,6728.0,-1344.0,68.0,11000.0,15259.0,-161.0,103.0,10900.0
57,Furniture,2018-10,5460.0,890.0,54.0,11100.0,6728.0,-1344.0,68.0,11000.0
58,Furniture,2018-11,12465.0,2316.0,60.0,11300.0,5460.0,890.0,54.0,11100.0
59,Furniture,2018-12,6208.0,-1213.0,29.0,11400.0,12465.0,2316.0,60.0,11300.0
60,Furniture,2019-01,15944.0,2137.0,112.0,11500.0,6208.0,-1213.0,29.0,11400.0
61,Furniture,2019-02,4694.0,1120.0,58.0,11600.0,15944.0,2137.0,112.0,11500.0
62,Furniture,2019-03,10143.0,1162.0,62.0,11800.0,4694.0,1120.0,58.0,11600.0
